source,target,length,name,highway,osmid,oneway,reversed
5813867127,2358137394,7.146,Đường Võ Văn Kiệt,primary,723197014,True,False
2358137394,2358137395,26.648,Đường Võ Văn Kiệt,primary,723197014,True,False
11775251426,11017261001,67.3,Nguyễn Thị Minh Khai,primary,1242387250,True,False
11017261001,8995419806,18.285,Nguyễn Thị Minh Khai,primary,35113070,True,False
3257659069,11753277696,11.837,Đường Hai Bà Trưng,primary,863689512,False,False
3257659069,10828987446,26.689,Đường Hai Bà Trưng,primary,863689512,False,True
11753277696,6938157974,32.048,Đường Hai Bà Trưng,primary,863689512,False,False
11753277696,3257659069,11.837,Đường Hai Bà Trưng,primary,863689512,False,True
10828987446,3257659069,26.689,Đường Hai Bà Trưng,primary,863689512,False,False
10828987446,411926702,23.072,Đường Hai Bà Trưng,primary,863689512,False,True
9404261863,9404261864,20.314,Đường Nguyễn Văn Cừ,primary,219859643,True,False
9404261864,2289921217,11.097,Đường Nguyễn Văn Cừ,primary,219859643,True,False
6772432974,366438154,8.82,Trần Hưng Đạo,primary,468616403,True,False
366438154,6772432972,11.473,Trần Hưng Đạo,primary,468616403,True,False
3301809362,3166367902,28.283,Đường 3 Tháng 2,primary,1214778165,True,False
3166367902,6786674058,19.046,Đường 3 Tháng 2,primary,1214778165,True,False
4200187547,2146838306,40.602,Đường Phạm Hùng,primary,204704732,True,False
6773186203,6789341865,69.649,Trần Hưng Đạo,primary,722054809,True,False
6789341865,6788576892,43.166,Trần Hưng Đạo,primary,722054809,True,False
11998448301,11998355566,15.014,Ngô Gia Tự,primary,1294654280,False,False
11998448301,11998448294,62.368,Ngô Gia Tự,primary,1294654280,False,True
11998355566,6783825162,5.001,Ngô Gia Tự,primary,1294654280,False,False
11998355566,11998448301,15.014,Ngô Gia Tự,primary,1294654280,False,True
11998448294,11998448301,62.368,Ngô Gia Tự,primary,1294654280,False,False
11998448294,11998448300,9.701,Ngô Gia Tự,primary,1294654280,False,True
411917959,411926424,9.972,Đường Hai Bà Trưng,primary,225372720,False,False
411917959,411921627,28.049,Đường Hai Bà Trưng,primary,225372720,False,True
411926424,411917959,9.972,Đường Hai Bà Trưng,primary,225372720,False,True
411926424,11753290071,49.258,Đường Hai Bà Trưng,primary,1178198378,False,False
411921627,411917959,28.049,Đường Hai Bà Trưng,primary,225372720,False,False
411921627,5769748091,17.726,Đường Hai Bà Trưng,primary,225372720,False,True
4618374500,5816803084,10.289,Đường Võ Văn Kiệt,primary,724149314,True,False
5816803084,1996655152,6.7,Đường Võ Văn Kiệt,primary,724149314,True,False
6760291137,5772159000,57.615,Đường Võ Văn Kiệt,primary,1193705152,True,False
5772159000,5268007024,44.699,Đường Võ Văn Kiệt,primary,719952416,True,False
4610625918,11868497863,5.231,Vòng xoay Phù Đổng Thiên Vương,primary,1265743189,True,False
11868497863,9864826736,0.39,Vòng xoay Phù Đổng Thiên Vương,primary,1265743189,True,False
4875814752,5769467342,5.215,Cách Mạng Tháng 8,primary,408240893,True,False
5769467342,4875814750,70.812,Cách Mạng Tháng 8,primary,408240893,True,False
11287006566,6751145371,97.194,Hàm Nghi,primary,703812379,True,False
6751145371,9402954161,13.609,Hàm Nghi,primary,719035061,True,False
6751145371,9402954160,7.47,Hàm Nghi,primary,719035063,True,False
411919629,2614395057,5.681,Ngã Bảy Lý Thái Tổ,primary,1018414106,True,False
2614395057,6739847111,6.217,Ngã Bảy Lý Thái Tổ,primary,1018414105,True,False
366414466,1374412934,88.03,Nguyễn Văn Trỗi,primary,35113033,True,False
1374412934,6729387367,35.394,Nguyễn Văn Trỗi,primary,35113033,True,False
4636764477,11932364994,4.936,,primary,1265525445,True,False
11932364994,2233738917,5.318,,primary,1265525445,True,False
4191224564,9404173930,67.059,Nguyễn Văn Trỗi,primary,1019637996,True,False
9404173930,9404173929,31.307,Nguyễn Văn Trỗi,primary,1226362261,True,False
8591874797,8591874798,30.862,Đường hầm sông Sài Gòn,primary,724479606,True,False
8591874798,8591874799,27.53,Đường hầm sông Sài Gòn,primary,724479606,True,False
6938157974,411926701,52.001,Đường Hai Bà Trưng,primary,863689512,False,False
6938157974,11753277696,32.048,Đường Hai Bà Trưng,primary,863689512,False,True
411926701,6938157974,52.001,Đường Hai Bà Trưng,primary,863689512,False,True
411926701,11551555125,7.954,Đường Hai Bà Trưng,primary,1278461437,False,False
6726843067,6726843072,28.301,An Dương Vương,primary,468653970,True,False
6726843072,4621858730,10.749,An Dương Vương,primary,468653970,True,False
2380787718,1769173934,13.134,Cầu Khánh Hội,primary,165367629,True,False
1769173934,2036251746,22.426,Cầu Khánh Hội,primary,165367629,True,False
366450760,1996655461,153.229,Cầu Chà Và,primary,614724260,True,False
1996655461,1996654725,11.645,Cầu Chà Và,primary,189017092,True,False
4636764466,2233808761,35.611,Đường Lý Thường Kiệt,primary,220860894,True,False
2233808761,1606180428,30.486,Đường Lý Thường Kiệt,primary,220860894,True,False
2498090057,6712587730,5.246,Lý Thái Tổ,primary,32581129,True,False
6712587730,6786258041,4.429,Lý Thái Tổ,primary,32581129,True,False
4903279041,4891712942,38.862,Cách Mạng Tháng 8,primary,810375571,False,False
4903279041,411920930,39.631,Cách Mạng Tháng 8,primary,810375571,False,True
4891712942,4191373367,16.732,Cách Mạng Tháng 8,primary,810375571,False,False
4891712942,4903279041,38.862,Cách Mạng Tháng 8,primary,810375571,False,True
411920930,4903279041,39.631,Cách Mạng Tháng 8,primary,810375571,False,False
411920930,7576580843,9.58,Cách Mạng Tháng 8,primary,1179966753,True,False
411921991,5778164489,24.118,Cách Mạng Tháng 8,primary,32588532,False,False
411921991,6813499478,28.169,Cách Mạng Tháng 8,primary,32588532,False,True
5778164489,2690659691,33.998,Cách Mạng Tháng 8,primary,32588532,False,False
5778164489,411921991,24.118,Cách Mạng Tháng 8,primary,32588532,False,True
6813499478,411921991,28.169,Cách Mạng Tháng 8,primary,32588532,False,False
6813499478,9774649665,27.483,Cách Mạng Tháng 8,primary,32588532,False,True
698217108,6793708677,7.068,Đường 3 Tháng 2,primary,694625406,True,False
6793708677,2433279318,19.299,Đường 3 Tháng 2,primary,694625406,True,False
2034589364,9721647695,16.317,Cầu Khánh Hội,primary,57727332,True,False
9721647695,2036251752,23.571,Cầu Khánh Hội,primary,57727332,True,False
4631143728,11799114415,15.207,Nguyễn Tri Phương,primary,432383413,True,False
