,y,x,highway
3506700347,10.7699546,106.6943304,
6789398675,10.7462023,106.6544918,
9599058300,10.7926399,106.6533142,
9599058301,10.7927004,106.6532078,
366477769,10.7470016,106.6888953,
4609802775,10.7679797,106.6952081,
4607050266,10.7621922,106.690455,
4609802778,10.7677766,106.695474,
4609802782,10.7566171,106.6853389,traffic_signals
6751126219,10.7607341,106.6687314,crossing
6751126220,10.7607108,106.6686342,crossing
8359904042,10.7767211,106.6923417,
10046800715,10.7802412,106.6771159,
10046800716,10.7802475,106.677146,
11260396495,10.7495263,106.6752274,
11260396499,10.749449,106.6750787,
11260396506,10.7493838,106.6749144,
11260396507,10.7492869,106.6739833,
5788927104,10.7598739,106.669076,
5816976729,10.7462437,106.6689523,
366478823,10.7653794,106.6629582,
10978330103,10.7815337,106.6995731,
5816976960,10.7470276,106.6691063,
5816976961,10.7500064,106.6693038,
11699226380,10.7658742,106.680423,
11699226384,10.7659791,106.6800784,
5765334909,10.7941177,106.6510104,
366479267,10.7589004,106.6713851,
2233730987,10.7856196,106.6538146,
5794913320,10.7611966,106.6777365,
6789269635,10.7671042,106.6764627,crossing
6789269636,10.767013,106.6764343,crossing
6789269637,10.765724,106.6809162,crossing
6789269638,10.7656495,106.6808922,crossing
6789269651,10.7609125,106.6835266,
6789269653,10.7592777,106.684027,crossing
6770526453,10.7533852,106.6694954,crossing
6770526454,10.7509306,106.6694413,crossing
6770526456,10.7507804,106.669436,traffic_signals
6770526457,10.7504846,106.6694317,crossing
6770526458,10.7504222,106.669501,crossing
6770526462,10.7519092,106.6836595,crossing
6770526465,10.7516427,106.6835651,traffic_signals
6770526466,10.7515339,106.6839697,crossing
6770526469,10.7518203,106.6840141,crossing
11383343438,10.7563557,106.6847705,
6790711637,10.754898,106.6797477,
8032750096,10.7886582,106.685038,traffic_signals
8032750097,10.7884381,106.6854663,traffic_signals
6788745828,10.773096,106.6794408,crossing
9929100026,10.7623059,106.6682711,
2233731931,10.7873305,106.6533227,
6727011191,10.7683539,106.6845809,
6727011192,10.7684228,106.6844383,traffic_signals
11294870756,10.7806722,106.7005323,
2498104606,10.7572469,106.6723686,
2498104608,10.7573587,106.6729589,
4613344546,10.7656828,106.6816837,
11287006566,10.7710504,106.7011208,
9403108737,10.7855682,106.6897251,
2495745494,10.7944886,106.6503202,
11824795238,10.7508262,106.6656818,
11768041166,10.7623772,106.657195,
11927555949,10.7893338,106.6600826,
11017261001,10.7660604,106.682342,
